id,name,desc,PreviewWeaponModel,PreviewWeaponDisplay,icon,showimage,model,modelFemale,pickup,PickupSound,type,level,inbagornot,stack,capacity,refid,AvatarRefId,candrop,instantuse,CountLimitInBag,ItemScore
83,T_32_LO_WEAPON_HURRISTICKG,T_32_LO_WEAPON_HURRISTICKG,,0,Icon_weapon_BASEBALLPOLE,Icon_slot_BASEBALLPOLE,HURRICANESTICK_BLUE,HURRICANESTICK_BLUE,INGAME_PICKUP_BASEBALLPOLE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,83,,1,0,0,0
84,T_29_LO_WEAPON_ANNISTICKR,T_29_LO_WEAPON_ANNISTICKR,,0,Icon_weapon_BASEBALLPOLE,Icon_slot_BASEBALLPOLE,HURRICANESTICK_RED,HURRICANESTICK_RED,INGAME_PICKUP_BASEBALLPOLE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,84,,1,0,0,0
86,T_32_YF_CHARGESHOT_N,T_32_YF_CHARGESHOT_D,Preview_ChargeShot,1,Icon_weapon_Chargeshot,Icon_ChargeShot_Render,INGAME_WEAPON_ChargeShot,INGAME_WEAPON_ChargeShot,INGAME_PICKUP_ChargeShot,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,86,311,1,0,0,0
87,T_32_U_DOGGUN,T_32_U_DOGGUN_D,,1,Icon_weapon_doggun,Icon_slot_doggun,INGAME_WEAPON_DOGGUN,INGAME_WEAPON_DOGGUN,INGAME_PICKUP_DOGGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,87,307,1,0,0,0
88,T_31_YF_MAC10_N,T_31_YF_MAC10_D,Preview_Mac10,1,Icon_weapon_Mac10,Icon_slot_Mac10,INGAME_WEAPON_Mac10,INGAME_WEAPON_Mac10,INGAME_PICKUP_Mac10,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,88,262,1,0,0,0
89,T_29_HI_MINI14,T_29_HI_MINI14_DESC,Preview_MINI14,1,Icon_weapon_MINI,Icon_slot_MINI,INGAME_WEAPON_MINI14,INGAME_WEAPON_MINI14,INGAME_PICKUP_MINI14,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,89,261,1,0,0,0
90,T_14_Q_ITEM_RGS50,T_14_Q_ITEM_DESC_RGS50,Preview_Track_GrenadeLauncher,1,Icon_weapon_RGS50,Icon_slot_RGS50,INGAME_WEAPON_RGS50,INGAME_WEAPON_RGS50,INGAME_PICKUP_RGS50,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,36,235,1,0,0,0
91,TXT_ITEM_M79,TXT_ITEM_DESC_M79,,0,Icon_weapon_M79,Icon_slot_M79,INGAME_WEAPON_M79,INGAME_WEAPON_M79,INGAME_PICKUP_M79,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,91,221,1,0,0,0
92,TXT_OB10_CX_SPEEDROYAL_ITEM_AUTOMACHINEGUN,TXT_ITEM_DESC_AK,,0,Icon_weapon_AK,Icon_slot_AK,INGAME_WEAPON_AK47,INGAME_WEAPON_AK47,INGAME_PICKUP_AK47,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,92,204,1,0,0,0
93,T_12_Q_ITEM_TREATMENTGUN,T_12_Q_ITEM_DESC_TREATMENTGUN,Preview_TreatmentGun,1,Icon_weapon_TREATMENTGUN,Icon_slot_TREATMENTGUN,INGAME_WEAPON_TREATMENTGUN,INGAME_WEAPON_TREATMENTGUN,INGAME_PICKUP_TREATMENTGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,93,304,1,0,0,0
94,TXT_ITEM_AWM,TXT_ITEM_DESC_AWM,Preview_AWM,1,Icon_weapon_AWM,Icon_slot_AWM,INGAME_WEAPON_AWM,INGAME_WEAPON_AWM,INGAME_PICKUP_AWM,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,94,202,1,0,0,0
95,TXT_ITEM_HANDCANNON,TXT_ITEM_DESC_HANDCANNON,Preview_Hand_Cannon,1,Icon_weapon_Hand_Cannon,Icon_slot_Hand_Cannon,INGAME_WEAPON_HANDCANNON,INGAME_WEAPON_HANDCANNON,INGAME_PICKUP_HANDCANNON,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,95,237,1,0,0,1
96,T_24_V_WEAPON_LIGHTSTICK,T_24_V_WEAPON_LIGHTSTICK,,0,Icon_weapon_BASEBALLPOLE,Icon_slot_BASEBALLPOLE,INGAME_WEAPON_DJMAN_LIGHTSTICK,INGAME_WEAPON_DJMAN_LIGHTSTICK,INGAME_PICKUP_BASEBALLPOLE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,96,,1,0,0,0
97,T_19_C_ICE_GUN_NAME,T_19_C_ICE_GUN_DESC,Preview_Ice_Gun,1,Icon_weapon_ICE_GUN,Icon_slot_ICE_GUN,INGAME_WEAPON_ICEGUN,INGAME_WEAPON_ICEGUN,INGAME_PICKUP_ICEGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,97,300,1,0,0,1
98,T_15_Q_ITEM_CG15,T_15_Q_ITEM_DESC_CG15,Preview_CG15,1,Icon_weapon_CG15,Icon_slot_CG15,INGAME_WEAPON_CG15,INGAME_WEAPON_CG15,INGAME_PICKUP_CG15,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,98,243,1,0,0,0
99,T_20_U_SHIELD_GUN_NAME,T_20_U_SHIELD_GUN_DESC,Preview_ShieldGun,1,Icon_weapon_shieldgun,Icon_slot_shieldgun,INGAME_WEAPON_SHIELDGUN,INGAME_WEAPON_SHIELDGUN,INGAME_PICKUP_SHIELDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,99,244,1,0,0,0
100,T_24_C_FLAMETHROWER_NAME,T_24_C_FLAMETHROWER_DESC,,0,Icon_weapon_FLAMETHROWER,Icon_slot_FLAMETHROWER,INGAME_WEAPON_FLAMETHROWER,INGAME_WEAPON_FLAMETHROWER,INGAME_PICKUP_FLAMETHROWER,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,100,301,1,0,0,0
101,TXT_ITEM_BANDAGE,TXT_ITEM_DESC_BANDAGE,,0,Icon_item_bandage,Icon_item_bandage,,,,,1,1,1,2,1,101,0,1,0,0,0
102,TXT_ITEM_FAK,TXT_ITEM_DESC_FAK,,0,Icon_item_fak,Icon_item_fak,,,INGAME_PICKUP_FAK_1,SOUND_ACTION_PICKUP_GAMEITEM,1,1,1,2,15,102,0,1,0,0,0.6
103,TXT_ITEM_ENERGYDRINK,TXT_ITEM_DESC_ENERGYDRINK,,0,Icon_boost_EnergyDrink,Icon_boost_EnergyDrink,,,,,1,1,1,2,3,103,0,1,0,0,0
104,TXT_OB7_SQ_ITEM_LOADOUT_DETECTOR,TXT_OB7_SQ_ITEM_LOADOUT_DETECTOR_DESC,,0,Icon_Loadout_Detector,Icon_Loadout_Detector,,,,,1,1,0,1,0,104,0,0,0,0,0
105,TXT_ITEM_FAK,T_12_S_ITEM_FAK_PVE_DESC,,0,Icon_item_fak,Icon_item_fak,,,INGAME_PICKUP_FAK_1,,1,1,1,2,0,105,0,1,0,6,0
106,TXT_OB16_Q_ITEM_ARMORREPAIR,TXT_OB16_Q_ITEM_ARMORREPAIR_DESC,,0,Icon_item_ArmorRepair,Icon_item_ArmorRepair,,,INGAME_PICKUP_ARMORREPAIR,,1,1,1,2,1,106,0,1,0,0,0.6
108,T_23_B_CARDIAC_NAME,T_23_B_CARDIAC_DESC,,0,Icon_item_Cardiac,Icon_item_Cardiac,INGAME_PACEMAKER,INGAME_PACEMAKER,INGAME_PICKUP_PACEMAKER,,1,1,1,1,1,108,0,1,0,1,1
109,T_23_B_CARDIAC_NAME,T_23_B_CARDIAC_DESC,,0,Icon_item_Cardiac_Bounty,Icon_item_Cardiac_Bounty,INGAME_PACEMAKER_BOUNTY,INGAME_PACEMAKER_BOUNTY,INGAME_PICKUP_CARDIAC_BOUNTY,,1,1,1,1,1,109,0,1,0,1,0
110,T_32_LO_WEAPON_HURRISTICKP,T_32_LO_WEAPON_HURRISTICKP,,0,Icon_weapon_BASEBALLPOLE,Icon_slot_BASEBALLPOLE,HURRICANESTICK_PURPLE,HURRICANESTICK_PURPLE,INGAME_PICKUP_BASEBALLPOLE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,110,,1,0,0,0
111,T_32_LO_WEAPON_HURRISTICKW,T_32_LO_WEAPON_HURRISTICKW,,0,Icon_weapon_BASEBALLPOLE,Icon_slot_BASEBALLPOLE,HURRICANESTICK_WHITE,HURRICANESTICK_WHITE,INGAME_PICKUP_BASEBALLPOLE,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,111,,1,0,0,0
119,T_32_RW_WEAPON_M1887TD_NAME,T_32_RW_WEAPON_M1887TD_DESC,Preview_M1887,1,Icon_weapon_M1887,Icon_slot_M1887,INGAME_WEAPON_M1887,INGAME_WEAPON_M1887,INGAME_PICKUP_M1887,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,119,242,1,0,0,10
120,T_32_U_GOLD_MP5_II,T_32_U_GOLD_MP5-II_DESC,,0,Icon_weapon_MP5,Icon_slot_MP5,INGAME_WEAPON_MP5,INGAME_WEAPON_MP5,INGAME_PICKUP_MP5_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,120,206,1,0,0,2
121,T_32_U_GOLD_MP5_III,T_32_U_GOLD_MP5-III_DESC,Preview_MP5,0,Icon_weapon_MP5,Icon_slot_MP5,INGAME_WEAPON_MP5,INGAME_WEAPON_MP5,INGAME_PICKUP_MP5,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,121,206,1,0,0,4
122,T_32_U_GOLD_M60_II,T_32_U_GOLD_M60-II_DESC,,0,Icon_weapon_M60,Icon_slot_M60,INGAME_WEAPON_M60,INGAME_WEAPON_M60,INGAME_PICKUP_M60_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,122,228,1,0,0,2
123,T_32_U_GOLD_M60_III,T_32_U_GOLD_M60-III_DESC,,0,Icon_weapon_M60,Icon_slot_M60,INGAME_WEAPON_M60,INGAME_WEAPON_M60,INGAME_PICKUP_M60_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,123,228,1,0,0,4
124,T_32_U_GOLD_VSS_II,T_32_U_GOLD_VSS-II_DESC,,0,Icon_weapon_VSS,Icon_slot_VSS,INGAME_WEAPON_VSS,INGAME_WEAPON_VSS,INGAME_PICKUP_VSS_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,124,211,1,0,0,2
125,T_32_U_GOLD_VSS_III,T_32_U_GOLD_VSS-III_DESC,,0,Icon_weapon_VSS,Icon_slot_VSS,INGAME_WEAPON_VSS,INGAME_WEAPON_VSS,INGAME_PICKUP_VSS_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,125,211,1,0,0,4
126,T_32_U_GOLD_M14_II,T_32_U_GOLD_M14-II_DESC,,0,Icon_weapon_M14,Icon_slot_M14,INGAME_WEAPON_M14,INGAME_WEAPON_M14,INGAME_PICKUP_M14_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,126,209,1,0,0,2
127,T_32_U_GOLD_M14_III,T_32_U_GOLD_M14-III_DESC,,0,Icon_weapon_M14,Icon_slot_M14,INGAME_WEAPON_M14,INGAME_WEAPON_M14,INGAME_PICKUP_M14_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,127,209,1,0,0,4
128,T_32_U_GOLD_KAR98K_II,T_32_U_GOLD_KAR98K-II_DESC,,0,Icon_weapon_Kar98k,Icon_slot_Kar98k,INGAME_WEAPON_Kar98k,INGAME_WEAPON_Kar98k,INGAME_PICKUP_KAR98K_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,128,219,1,0,0,2
129,T_32_U_GOLD_KAR98K_III,T_32_U_GOLD_KAR98K-III_DESC,,0,Icon_weapon_Kar98k,Icon_slot_Kar98k,INGAME_WEAPON_Kar98k,INGAME_WEAPON_Kar98k,INGAME_PICKUP_KAR98K_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,129,219,1,0,0,4
130,T_32_U_GOLD_FAMAS-II,T_32_U_GOLD_FAMAS-II_DESC,Preview_FAMAS,1,Icon_weapon_Famas,Icon_slot_Famas,INGAME_WEAPON_FAMAS,INGAME_WEAPON_FAMAS,INGAME_PICKUP_FAMAS_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,130,222,1,0,0,2
131,T_32_U_GOLD_FAMAS-III,T_32_U_GOLD_FAMAS-III_DESC,Preview_FAMAS,1,Icon_weapon_Famas,Icon_slot_Famas,INGAME_WEAPON_FAMAS,INGAME_WEAPON_FAMAS,INGAME_PICKUP_FAMAS_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,131,222,1,0,0,4
132,T_32_U_GOLD_HEATGUN_II,T_32_U_GOLD_HEATGUN-II_DESC,,0,Icon_weapon_Superheat,Icon_slot_Superheat,INGAME_WEAPON_HEAT_GUN,INGAME_WEAPON_HEAT_GUN,INGAME_PICKUP_SUPERHEAT_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,132,238,1,0,0,1
133,T_32_U_GOLD_HEATGUN_III,T_32_U_GOLD_HEATGUN-III_DESC,,0,Icon_weapon_Superheat,Icon_slot_Superheat,INGAME_WEAPON_HEAT_GUN,INGAME_WEAPON_HEAT_GUN,INGAME_PICKUP_SUPERHEAT_GOLDGUN,SOUND_ACTION_PICKUP_WEAPON,0,1,0,1,0,133,238,1,0,0,3
201,TXT_ITEM_ARAMMO,TXT_ITEM_DESC_ARAMMO,,0,Icon_ammo_AR,Icon_ammo_AR,,,INGAME_PICKUP_AMMO_AR,SOUND_ACTION_PICKUP_AMMO,1,1,1,30,1,201,0,1,0,0,0
202,TXT_ITEM_HGAMMO,TXT_ITEM_DESC_HGAMMO,,0,Icon_ammo_45ACP,Icon_ammo_45ACP,,,INGAME_PICKUP_AMMO_HG,SOUND_ACTION_PICKUP_AMMO,1,1,1,30,1,202,0,1,0,0,0
203,TXT_ITEM_SNAMMO,TXT_ITEM_DESC_SNAMMO,,0,Icon_ammo_SNP,Icon_ammo_SNP,,,INGAME_PICKUP_AMMO_SNG,SOUND_ACTION_PICKUP_AMMO,1,1,1,20,2,203,0,1,0,0,0
204,TXT_ITEM_SGAMMO,TXT_ITEM_DESC_SGAMMO,,0,Icon_ammo_SG,Icon_ammo_SG,,,INGAME_PICKUP_AMMO_SG,SOUND_ACTION_PICKUP_AMMO,1,1,1,20,2,204,0,1,0,0,0
205,TXT_ITEM_SMGAMMO,TXT_ITEM_DESC_SMGAMMO,,0,Icon_ammo_SMG,Icon_ammo_SMG,,,INGAME_PICKUP_AMMO_SMG,SOUND_ACTION_PICKUP_AMMO,1,1,1,30,1,205,0,1,0,0,0
206,TXT_ITEM_BOWAMMO,TXT_ITEM_DESC_BOWAMMO,,0,Icon_ammo_BOW,Icon_ammo_BOW,,,INGAME_PICKUP_AMMO_BOW,SOUND_ACTION_PICKUP_AMMO,1,1,1,10,2,206,0,1,0,0,0
207,TXT_ITEM_LANUNCHERAMMO,TXT_ITEM_DESC_LANUNCHERAMMO,,0,Icon_ammo_LANUNCHER,Icon_ammo_LANUNCHER,,,INGAME_PICKUP_AMMO_LANUNCHER,SOUND_ACTION_PICKUP_AMMO,1,1,1,2,10,207,0,1,0,0,0
208,T_32_JL_HEATGUN_AMMO_N,TXT_ITEM_DESC_HGAMMO,,0,Icon_ammo_45ACP,Icon_ammo_45ACP,,,INGAME_PICKUP_AMMO_HG,SOUND_ACTION_PICKUP_AMMO,1,1,1,30,1,208,0,1,0,0,0
209,T_16_B_ITEM_GRAPPLINGHOOK,T_16_B_ITEM_DESC_GRAPPLINGHOOK,,0,Icon_ammo_GrapplingHookGun_Bullet,Icon_ammo_GrapplingHookGun_Bullet,,,INGAME_PICKUP_AMMO_GRAPPLINGHOOKGUN,SOUND_ACTION_PICKUP_AMMO,1,1,1,10,1,209,0,1,0,0,0
210,TXT_ITEM_GATLINGAMMO,TXT_ITEM_GATLINGAMMO,,0,Icon_ammo_AR,Icon_ammo_AR,,,INGAME_PICKUP_AMMO_AR,SOUND_ACTION_PICKUP_AMMO,1,1,1,30,1,210,0,1,0,0,0
211,T_32_JL_HEATGUN_AMMO_N,,,0,,,,,,SOUND_ACTION_PICKUP_AMMO,1,1,0,1,0,211,0,0,0,0,0
212,ice_gun_ammo,,,0,,,,,,SOUND_ACTION_PICKUP_AMMO,1,1,0,1,0,212,0,0,0,0,0
213,T_20_C_INHALER_NAME,T_20_C_INHALER_DESC,,0,Icon_weapon_INHALER,Icon_weapon_INHALER,,,INGAME_PICKUP_INHALER,SOUND_ACTION_PICKUP_GAMEITEM,1,1,1,5,1,213,0,1,0,0,0.4
214,FLAMETHROWER_AMMO,,,0,,,,,,SOUND_ACTION_PICKUP_AMMO,1,1,0,1,0,214,0,0,0,0,0
215,T_32_JL_HEATGUN_AMMO_N,TXT_ITEM_DESC_HGAMMO,,0,Icon_ammo_45ACP,Icon_ammo_45ACP,,,INGAME_PICKUP_AMMO_HG,SOUND_ACTION_PICKUP_AMMO,1,1,1,30,1,215,0,1,0,0,0
216,T_32_JL_HEATGUN_AMMO_N,TXT_ITEM_DESC_HGAMMO,,0,Icon_ammo_45ACP,Icon_ammo_45ACP,,,INGAME_PICKUP_AMMO_HG,SOUND_ACTION_PICKUP_AMMO,1,1,1,30,1,216,0,1,0,0,0
301,TXT_ITEM_VEST1,TXT_ITEM_DESC_VEST1,,0,Icon_equipment_Vest_01,Icon_equipment_Vest_01,,,INGAME_PICKUP_ARMOR_1,SOUND_ACTION_PICKUP_GAMEITEM,4,2,0,1,0,1,101,1,0,0,3
302,TXT_ITEM_VEST2,TXT_ITEM_DESC_VEST2,,0,Icon_equipment_Vest_02,Icon_equipment_Vest_02,,,INGAME_PICKUP_ARMOR_2,SOUND_ACTION_PICKUP_GAMEITEM,4,3,0,1,0,2,102,1,0,0,7
303,TXT_ITEM_VEST3,TXT_ITEM_DESC_VEST3,,0,Icon_equipment_Vest_03,Icon_equipment_Vest_03,,,INGAME_PICKUP_ARMOR_3,SOUND_ACTION_PICKUP_GAMEITEM,4,4,0,1,0,3,103,1,0,0,12
304,TXT_ITEM_HELMET1,TXT_ITEM_DESC_HELMET1,,0,Icon_equipment_MilitaryHelmet_01,Icon_equipment_MilitaryHelmet_01,,,INGAME_PICKUP_HELMET_1,SOUND_ACTION_PICKUP_GAMEITEM,2,2,0,1,0,4,104,1,0,0,3
305,TXT_ITEM_HELMET2,TXT_ITEM_DESC_HELMET2,,0,Icon_equipment_MilitaryHelmet_02,Icon_equipment_MilitaryHelmet_02,,,INGAME_PICKUP_HELMET_2,SOUND_ACTION_PICKUP_GAMEITEM,2,3,0,1,0,5,105,1,0,0,5
306,TXT_ITEM_HELMET3,TXT_ITEM_DESC_HELMET3,,0,Icon_equipment_MilitaryHelmet_03,Icon_equipment_MilitaryHelmet_03,,,INGAME_PICKUP_HELMET_3,SOUND_ACTION_PICKUP_GAMEITEM,2,4,0,1,0,6,106,1,0,0,10
307,TXT_ITEM_VEST0,TXT_ITEM_DESC_VEST0,,0,Icon_equipment_Vest_00,Icon_equipment_Vest_00,,,INGAME_PICKUP_ARMOR_0,SOUND_ACTION_PICKUP_GAMEITEM,4,1,0,1,0,10,110,1,0,0,0
308,TXT_ITEM_HELMET0,TXT_ITEM_DESC_HELMET0,,0,Icon_equipment_MilitaryHelmet_00,Icon_equipment_MilitaryHelmet_00,,,INGAME_PICKUP_HELMET_0,SOUND_ACTION_PICKUP_GAMEITEM,2,1,0,1,0,11,111,1,0,0,0
309,T_12_Q_ITEM_VEST4,T_12_Q_ITEM_DESC_VEST4,,0,Icon_equipment_Vest_04,Icon_equipment_Vest_04,,,INGAME_PICKUP_ARMOR_5,SOUND_ACTION_PICKUP_GAMEITEM,4,5,0,1,0,13,113,1,0,0,20
310,T_17_Q_PROTECTHELMET,T_17_Q_PROTECTHELMET_DESC,,0,Icon_equipment_MilitaryHelmet_04,Icon_equipment_MilitaryHelmet_04,,,INGAME_PICKUP_HELMET_4,SOUND_ACTION_PICKUP_GAMEITEM,2,5,0,1,0,17,116,1,0,0,14
311,TXT_ITEM_VEST1,T_13_S_ITEM_DESC_VEST1_PVE,,0,Icon_equipment_Vest_01,Icon_equipment_Vest_01,,,INGAME_PICKUP_ARMOR_1,SOUND_ACTION_PICKUP_GAMEITEM,4,2,0,1,0,14,101,1,0,0,0
312,TXT_ITEM_VEST2,T_13_S_ITEM_DESC_VEST2_PVE,,0,Icon_equipment_Vest_02,Icon_equipment_Vest_02,,,INGAME_PICKUP_ARMOR_2,SOUND_ACTION_PICKUP_GAMEITEM,4,3,0,1,0,15,102,1,0,0,0
313,TXT_ITEM_VEST3,T_13_S_ITEM_DESC_VEST3_PVE,,0,Icon_equipment_Vest_03,Icon_equipment_Vest_03,,,INGAME_PICKUP_ARMOR_3,SOUND_ACTION_PICKUP_GAMEITEM,4,4,0,1,0,16,103,1,0,0,0
314,TXT_ITEM_HELMET1,TXT_ITEM_DESC_HELMET1,,0,Icon_avatar_hair_cos_bighead_LV1,Icon_avatar_hair_cos_bighead_LV1,,,INGAME_PICKUP_HELMET_BIGHEAD_1,SOUND_ACTION_PICKUP_GAMEITEM,2,2,0,1,0,4,239,1,0,0,0
315,TXT_ITEM_HELMET2,TXT_ITEM_DESC_HELMET2,,0,Icon_avatar_hair_cos_bighead_LV2,Icon_avatar_hair_cos_bighead_LV2,,,INGAME_PICKUP_HELMET_BIGHEAD_2,SOUND_ACTION_PICKUP_GAMEITEM,2,3,0,1,0,5,240,1,0,0,0
316,TXT_ITEM_HELMET3,TXT_ITEM_DESC_HELMET3,,0,Icon_avatar_hair_cos_bighead_LV3,Icon_avatar_hair_cos_bighead_LV3,,,INGAME_PICKUP_HELMET_BIGHEAD_3,SOUND_ACTION_PICKUP_GAMEITEM,2,4,0,1,0,6,241,1,0,0,0
401,TXT_ITEM_BAG1,TXT_ITEM_DESC_BAG1,,0,Icon_equipment_Back_E_01,Icon_equipment_Back_E_01,,,INGAME_PICKUP_BAG_1,SOUND_ACTION_PICKUP_GAMEITEM,3,2,0,1,0,7,107,1,0,0,5
402,TXT_ITEM_BAG2,TXT_ITEM_DESC_BAG2,,0,Icon_equipment_Back_E_02,Icon_equipment_Back_E_02,,,INGAME_PICKUP_BAG_2,SOUND_ACTION_PICKUP_GAMEITEM,3,3,0,1,0,8,108,1,0,0,7
403,TXT_ITEM_BAG3,TXT_ITEM_DESC_BAG3,,0,Icon_equipment_Back_E_03,Icon_equipment_Back_E_03,,,INGAME_PICKUP_BAG_3,SOUND_ACTION_PICKUP_GAMEITEM,3,4,0,1,0,9,109,1,0,0,12
404,TXT_ITEM_BAG0,TXT_ITEM_DESC_BAG0,,0,Icon_equipment_Back_E_0,Icon_equipment_Back_E_0,,,,SOUND_ACTION_PICKUP_GAMEITEM,5,1,0,1,0,12,112,0,0,0,0
501,TXT_ITEM_MUZZLE1,TXT_ITEM_DESC_MUZZLE1,,0,Icon_Muzzle_01,Icon_Muzzle_01,,,INGAME_PICKUP_MUZZLE_1,SOUND_ACTION_PICKUP_GAMEITEM,6,1,1,1,5,501,0,1,0,0,1
502,TXT_ITEM_MUZZLE2,TXT_ITEM_DESC_MUZZLE2,,0,Icon_Muzzle_02,Icon_Muzzle_02,,,INGAME_PICKUP_MUZZLE_2,SOUND_ACTION_PICKUP_GAMEITEM,6,2,1,1,5,502,0,1,0,0,1.8
503,TXT_ITEM_MUZZLE3,TXT_ITEM_DESC_MUZZLE3,,0,Icon_Muzzle_03,Icon_Muzzle_03,,,INGAME_PICKUP_MUZZLE_3,SOUND_ACTION_PICKUP_GAMEITEM,6,3,1,1,5,503,0,1,0,0,2.5
504,TXT_ITEM_SILENCER1,TXT_ITEM_DESC_SILENCER1,,0,Icon_Silencer_01,Icon_Silencer_01,,,INGAME_PICKUP_SILENCER_1,SOUND_ACTION_PICKUP_GAMEITEM,6,0,1,1,5,504,0,1,0,0,2.5
505,T_29_YF_MUZZLE_CRASH_N,T_29_YF_MUZZLE_CRASH_D,,0,Icon_Muzzle_Attack,Icon_Muzzle_Attack,,,INGAME_PICKUP_MUZZLE_Attackmuzzle,SOUND_ACTION_PICKUP_GAMEITEM,6,0,1,1,5,505,0,1,0,0,2.5
506,T_29_YF_MUZZLE_WIDE_N,T_29_YF_MUZZLE_WIDE_D,,0,Icon_Muzzle_Widemuzzle,Icon_Muzzle_Widemuzzle,,,INGAME_PICKUP_MUZZLE_Widemuzzle,SOUND_ACTION_PICKUP_GAMEITEM,6,0,1,1,5,506,0,1,0,0,2.5
511,TXT_ITEM_MAGEZINE1,TXT_ITEM_DESC_MAGEZINE1,,0,Icon_Magazine_01,Icon_Magazine_01,,,INGAME_PICKUP_MAGAZINE_1,SOUND_ACTION_PICKUP_GAMEITEM,6,1,1,1,5,511,0,1,0,0,1
512,TXT_ITEM_MAGEZINE2,TXT_ITEM_DESC_MAGEZINE2,,0,Icon_Magazine_02,Icon_Magazine_02,,,INGAME_PICKUP_MAGAZINE_2,SOUND_ACTION_PICKUP_GAMEITEM,6,2,1,1,5,512,0,1,0,0,1.8
513,TXT_ITEM_MAGEZINE3,TXT_ITEM_DESC_MAGEZINE3,,0,Icon_Magazine_03,Icon_Magazine_03,,,INGAME_PICKUP_MAGAZINE_3,SOUND_ACTION_PICKUP_GAMEITEM,6,3,1,1,5,513,0,1,0,0,2.5
514,TXT_ITEM_MAGEZINE3,TXT_ITEM_DESC_MAGEZINE3,,0,Icon_Magazine_03,Icon_Magazine_03,,,INGAME_PICKUP_MAGAZINE_3,SOUND_ACTION_PICKUP_GAMEITEM,6,1,1,1,5,514,0,1,0,0,0
515,TXT_ITEM_MAGEZINE3,TXT_ITEM_DESC_MAGEZINE3,,0,Icon_Magazine_03,Icon_Magazine_03,,,INGAME_PICKUP_MAGAZINE_3,SOUND_ACTION_PICKUP_GAMEITEM,6,2,1,1,5,515,0,1,0,0,0
516,T_19_U_DOUBLEMAGEZINE_ATTACHMENT_NAME,T_19_U_DOUBLEMAGEZINE_ATTACHMENT_DESC,,0,Icon_Magazine_Double,Icon_Magazine_Double,,,INGAME_PICKUP_DOUBLEMAGAZINE,SOUND_ACTION_PICKUP_GAMEITEM,6,0,1,1,5,516,0,1,0,0,2.5
517,T_29_YF_MAGEZINE_CHAIN_N,T_29_YF_MAGEZINE_CHAIN_D,,0,Icon_Magazine_Chainmagezine,Icon_Magazine_Chainmagezine,,,INGAME_PICKUP_MAGAZINE_Chainmagezine,SOUND_ACTION_PICKUP_GAMEITEM,6,0,1,1,5,517,0,1,0,0,2.5
521,TXT_ITEM_FOREGRIP1,TXT_ITEM_DESC_FOREGRIP1,,0,Icon_Foregrip_01,Icon_Foregrip_01,,,INGAME_PICKUP_FOREGRIP_1,SOUND_ACTION_PICKUP_GAMEITEM,6,1,1,1,5,521,0,1,0,0,1
522,TXT_ITEM_FOREGRIP2,TXT_ITEM_DESC_FOREGRIP2,,0,Icon_Foregrip_02,Icon_Foregrip_02,,,INGAME_PICKUP_FOREGRIP_2,SOUND_ACTION_PICKUP_GAMEITEM,6,2,1,1,5,522,0,1,0,0,1.8
523,TXT_ITEM_FOREGRIP3,TXT_ITEM_DESC_FOREGRIP3,,0,Icon_Foregrip_03,Icon_Foregrip_03,,,INGAME_PICKUP_FOREGRIP_3,SOUND_ACTION_PICKUP_GAMEITEM,6,3,1,1,5,523,0,1,0,0,2.5
